location,start,end,offset,actual_pop_scale,min_sim_number,min_rmse,cum_case_in_1M,min_rmse_fraction,group_size,gamma,gamma_M,S2A,global_day
Bangladesh,133.0,516.0,0.0,164.689383,33836.0,40.97087987589894,4850.525185342301,0.008446689442971654,20.0,0.9,0.6633333333333333,0.0134117647058823,133.0
Barbados,89.0,419.0,0.0,0.287371,15951.0,1087.8993646992537,9712.1839016463,0.112013876149405,20.0,0.3,0.5544444444444444,0.0092941176470588,89.0
Belarus,99.0,508.0,0.0,9.449320999999998,60731.0,318.90920655336913,40719.6453586453,0.007831826720113138,15.0,0.9,0.3366666666666666,0.02,99.0
Belgium,77.0,415.0,0.0,11.431406,32161.0,835.4351781554236,65285.2326301769,0.012796694512646326,50.0,0.5,0.1188888888888888,0.0134117647058823,77.0
Bolivia,122.0,483.0,0.0,11.673029,48898.0,337.8416145430823,25722.3724878949,0.013134154507018067,20.0,0.95,0.99,0.0167058823529411,122.0
Bosnia and Herzegovina,90.0,516.0,0.0,3.280815,16411.0,618.7202987739239,62130.5986469825,0.009958383022983689,50.0,0.5,0.6633333333333333,0.0092941176470588,90.0
Botswana,185.0,516.0,0.0,2.3516250000000007,35628.0,190.2356183315646,22865.465369691097,0.008319778987911088,30.0,0.7,0.1188888888888888,0.014235294117647,185.0
Brazil,103.0,442.0,0.0,210.147125,57041.0,790.7146749175447,55645.957564254,0.014209741543301001,50.0,0.95,0.2277777777777777,0.0191764705882352,103.0
Bulgaria,105.0,451.0,0.0,6.948445,47242.0,1110.547247080009,46806.5876609802,0.02372630227017819,50.0,0.95,0.4455555555555555,0.0167058823529411,105.0
Cabo Verde,106.0,516.0,0.0,0.5559880000000001,27932.0,687.3992986401651,54603.696482657804,0.012588878462806706,30.0,0.9,0.99,0.0117647058823529,106.0
Cameroon,132.0,516.0,0.0,26.545864,22373.0,78.28542941328388,2973.3068774856,0.02632941456735423,50.0,0.7,0.3366666666666666,0.0109411764705882,132.0
Canada,86.0,431.0,0.0,37.894482,29460.0,310.25630321933676,23474.4203654769,0.013216782284244217,5.0,0.5,0.4455555555555555,0.0125882352941176,86.0
Central African Republic,459.0,516.0,985.9743871542998,4.829764000000001,38847.0,6.1876613942879075,482.21329240930004,0.012831793506504699,50.0,0.95,0.01,0.0150588235294117,459.0
Chile,88.0,406.0,0.0,17.576779,41942.0,1160.6432590136208,43135.8327939379,0.02690670803918574,30.0,0.95,0.99,0.0150588235294117,88.0
Colombia,115.0,465.0,0.0,48.258134,53789.0,806.985634032879,51891.894535333595,0.015551284863638892,20.0,0.9,0.3366666666666666,0.0183529411764705,115.0
Comoros,145.0,516.0,0.0,0.869595,21903.0,116.96858400316708,4462.9971423478,0.026208527649120274,20.0,0.3,0.2277777777777777,0.0109411764705882,145.0
Congo (Brazzaville),148.0,516.0,0.0,5.518092,12863.0,17.814743575917795,2112.6867765162,0.008432269172098541,30.0,0.5,0.6633333333333333,0.0084705882352941,148.0
Costa Rica,100.0,447.0,0.0,5.094114,58694.0,930.9146035344176,41597.6163862842,0.02237903717582635,20.0,0.95,0.7722222222222221,0.0191764705882352,100.0
Cote d'Ivoire,149.0,516.0,0.0,26.378274999999995,38725.0,28.933862090111514,1790.6023043584,0.01615873162884092,20.0,0.7,0.01,0.0150588235294117,149.0
Croatia,85.0,433.0,0.0,4.105268,32008.0,925.5583908642924,60071.108634077,0.015407712824185233,15.0,0.3,0.1188888888888888,0.0134117647058823,85.0
Cuba,112.0,516.0,0.0,11.326615999999996,16427.0,348.1851907583749,12463.2105476163,0.027937038327974683,50.0,0.7,0.6633333333333333,0.0092941176470588,112.0
Cyprus,84.0,423.0,0.0,1.2073609999999997,32064.0,614.8424471998075,28310.505308685602,0.021717819604271604,20.0,0.5,0.1188888888888888,0.0134117647058823,84.0
Czechia,82.0,423.0,0.0,10.708982,51740.0,2197.17261726696,113248.859695534,0.019401278062966723,30.0,0.95,0.7722222222222221,0.0175294117647058,82.0
Denmark,72.0,407.0,0.0,5.897839999999998,25457.0,794.8306207443537,34516.7044206014,0.02302741916085003,30.0,0.3,0.2277777777777777,0.0117647058823529,72.0
Djibouti,389.0,516.0,5889.8664172744,0.988002,58699.0,236.9148516424863,5778.126157639398,0.041002021274536476,20.0,0.95,0.7722222222222221,0.0191764705882352,389.0
