location,start,end,offset,actual_pop_scale,min_sim_number,min_rmse,cum_case_in_1M,min_rmse_fraction,group_size,gamma,gamma_M,S2A,global_day
US.Maryland,87.0,408.0,0.0,6.04568,51397.0,736.3175059837243,60847.5804210609,0.012101015371333748,30.0,0.95,0.6633333333333333,0.0175294117647058,87.0
US.Massachusetts,77.0,407.0,0.0,6.8925030000000005,40538.0,1119.361089345988,79643.926161512,0.014054569422858515,30.0,0.9,0.5544444444444444,0.0150588235294117,77.0
US.Michigan,82.0,405.0,0.0,9.986857,16402.0,682.7458747992408,62363.264037925,0.010947885511317083,50.0,0.3,0.6633333333333333,0.0092941176470588,82.0
US.Minnesota,90.0,409.0,0.0,5.639632000000001,56365.0,771.6262465334255,83666.9839450517,0.009222589486913872,3.0,0.5,0.1188888888888888,0.0191764705882352,90.0
US.Mississippi,84.0,409.0,0.0,2.976149,53895.0,1046.906692334053,95979.0655642576,0.010907656645533325,50.0,0.95,0.3366666666666666,0.0183529411764705,84.0
US.Missouri,86.0,410.0,0.0,6.137428000000001,23373.0,595.1717333523317,89772.4584304695,0.006629780934575872,30.0,0.7,0.6633333333333333,0.0109411764705882,86.0
US.Montana,87.0,403.0,0.0,1.0687780000000002,29261.0,857.785687017722,89557.4197822185,0.009578052707454555,20.0,0.5,0.3366666666666666,0.0125882352941176,87.0
US.Nebraska,92.0,402.0,0.0,1.934408,26525.0,744.6725666357969,99807.796493811,0.007461066096995474,30.0,0.7,0.5544444444444444,0.0117647058823529,92.0
US.Nevada,85.0,412.0,0.0,3.080156,41023.0,893.4409862092069,93741.6806161766,0.009530882957682216,5.0,0.7,0.7722222222222221,0.0150588235294117,85.0
US.New Hampshire,86.0,404.0,0.0,1.359711,22668.0,841.6781080515401,50449.6911476041,0.016683513593551746,30.0,0.5,0.4455555555555555,0.0109411764705882,86.0
US.New Jersey,80.0,408.0,0.0,8.882190000000001,60132.0,1100.660740583966,82899.6002112091,0.013277033155524705,30.0,0.9,0.1188888888888888,0.02,80.0
US.New Mexico,89.0,400.0,0.0,2.096829,39421.0,798.7725559086285,83770.3026808576,0.00953527121600286,20.0,0.7,0.2277777777777777,0.0150588235294117,89.0
US.New York,78.0,405.0,0.0,19.453561000000004,24481.0,1283.2714824095503,76551.3316559369,0.016763542248713147,50.0,0.9,0.99,0.0109411764705882,78.0
US.North Carolina,88.0,408.0,0.0,10.488084,61082.0,580.1472767600061,77274.9341061723,0.0075075738785219765,15.0,0.9,0.4455555555555555,0.02,88.0
US.North Dakota,88.0,399.0,0.0,0.762062,41371.0,1220.4726376413666,128332.0779674094,0.009510269427347012,5.0,0.7,0.8811111111111111,0.0150588235294117,88.0
US.Ohio,88.0,409.0,0.0,11.6891,38765.0,772.7881543570287,79966.9777827206,0.009663840947656948,30.0,0.5,0.01,0.0150588235294117,88.0
US.Oklahoma,89.0,404.0,0.0,3.956971000000001,27633.0,731.0559103913839,102295.9228157092,0.00714648140677527,50.0,0.9,0.8811111111111111,0.0117647058823529,89.0
US.Oregon,88.0,404.0,0.0,4.217736999999999,22617.0,365.9076667457365,34881.738714386396,0.010489949189225018,20.0,0.5,0.4455555555555555,0.0109411764705882,88.0
US.Pennsylvania,86.0,410.0,0.0,12.801989,36761.0,772.973502854225,69853.4246834079,0.011065649341568036,3.0,0.5,0.5544444444444444,0.014235294117647,86.0
US.Rhode Island,83.0,405.0,0.0,1.059361,45335.0,1413.2891017803863,112430.04037339489,0.012570386856454629,15.0,0.9,0.99,0.0158823529411764,83.0
US.South Carolina,87.0,411.0,0.0,5.148714,45449.0,925.6501045869072,94643.6333422287,0.009780373722971757,30.0,0.95,0.99,0.0158823529411764,87.0
US.South Dakota,89.0,397.0,0.0,0.8846589999999999,36571.0,1017.0611799047209,122363.53216324019,0.008311799781555024,15.0,0.7,0.4455555555555555,0.014235294117647,89.0
US.Tennessee,84.0,400.0,0.0,6.829174,50331.0,1021.1630765052471,107365.253835969,0.009511113139688233,30.0,0.9,0.3366666666666666,0.0175294117647058,84.0
US.Texas,90.0,408.0,0.0,28.995881,58044.0,680.010194390448,87710.2509835793,0.007752915842388323,30.0,0.95,0.5544444444444444,0.0191764705882352,90.0
US.Utah,85.0,404.0,0.0,3.2059579999999994,45335.0,873.0387264800245,110609.0597568651,0.007893012818290756,15.0,0.9,0.99,0.0158823529411764,85.0
US.Vermont,83.0,400.0,0.0,0.623989,42117.0,209.26691151670263,19758.3611249557,0.010591309177580983,10.0,0.5,0.01,0.0158823529411764,83.0
US.Virginia,89.0,410.0,0.0,8.535519,51280.0,535.2326163747883,64134.822967414104,0.008345429075975335,15.0,0.9,0.6633333333333333,0.0175294117647058,89.0
US.Washington,76.0,409.0,0.0,7.614892999999999,31956.0,398.6970024637933,42964.096803461296,0.009279771533139114,10.0,0.3,0.1188888888888888,0.0134117647058823,76.0
US.West Virginia,92.0,395.0,0.0,1.7921470000000006,42053.0,790.393753686315,66661.3843618855,0.011856845777391817,5.0,0.3,0.01,0.0158823529411764,92.0
US.Wisconsin,85.0,408.0,0.0,5.822434000000001,48671.0,747.0167606012307,103853.9895857986,0.0071929519855766875,3.0,0.7,0.99,0.0167058823529411,85.0
US.Wyoming,87.0,408.0,0.0,0.5787590000000001,32668.0,1205.3283783448396,91538.9652687906,0.01316738041341817,10.0,0.5,0.3366666666666666,0.0134117647058823,87.0
