"state","vac1RateCumu_asOfLastMonth","vac2RateCumu_asOfLastMonth","days_exceed3","dailyVac1_permillion_bw3andLastMonth","dailyVac2_permillion_bw3andLastMonth","dailyVac1_permillion_duringLastMonth","dailyVac2_permillion_duringLastMonth"
"New Jersey",22.3541772918616,22.3541772918616,408,1926.54043069875,1926.54043069875,1000.52519015127,1000.52519015127
"New Mexico",22.443627973478,22.443627973478,400,1803.59164999247,1803.59164999247,926.398862282045,926.398862282045
"New York",21.3701876998252,21.3701876998252,405,1788.4682694637,1788.4682694637,1077.04221615841,1077.04221615841
"North Carolina",17.8623712395896,17.8623712395896,408,1490.61844675171,1490.61844675171,592.385021989502,592.385021989502
"North Dakota",16.7906941954854,16.7906941954854,399,1291.22791386492,1291.22791386492,306.532505483213,306.532505483213
"Ohio",18.4779965951185,18.4779965951185,409,1577.25141650857,1577.25141650857,680.948697449319,680.948697449319
"Oklahoma",15.7902218641481,15.7902218641481,404,1261.41872695771,1261.41872695771,711.194855700191,711.194855700191
"Oregon",20.8307203602311,20.8307203602311,404,1725.42383002341,1725.42383002341,1133.88660408911,1133.88660408911
"Pennsylvania",19.911480161403,19.911480161403,410,1731.20246437178,1731.20246437178,894.401089020293,894.401089020293
"Rhode Island",23.7118885818904,23.7118885818904,405,1983.1434844825,1983.1434844825,1137.12797833606,1137.12797833606
"South Carolina",15.635710198702,15.635710198702,411,1339.30900951559,1339.30900951559,742.139593717777,742.139593717777
"South Dakota",19.9039176307242,19.9039176307242,397,1543.26924132021,1543.26924132021,420.743970620541,420.743970620541
"Tennessee",14.86365701035,14.86365701035,400,1149.33877548861,1149.33877548861,543.592874128064,543.592874128064
"Texas",16.2418703961983,16.2418703961983,408,1361.34629348176,1361.34629348176,849.681455146721,849.681455146721
"Utah",14.3893026670967,14.3893026670967,404,1146.67920077021,1146.67920077021,778.912665207274,778.912665207274
"Vermont",25.1367411925531,25.1367411925531,400,2032.3703208517,2032.3703208517,1505.97154343964,1505.97154343964
"Virginia",20.7939610936371,20.7939610936371,410,1793.72707265182,1793.72707265182,1035.13368382244,1035.13368382244
"Washington",21.2666678310516,21.2666678310516,409,1846.65182751305,1846.65182751305,1198.03009283807,1198.03009283807
"West Virginia",16.1874277054282,16.1874277054282,395,1201.65670257264,1201.65670257264,460.782693931159,460.782693931159
"Wisconsin",20.4700130563953,20.4700130563953,408,1749.25889146093,1749.25889146093,742.833113126495,742.833113126495
"Wyoming",14.741196249216,14.741196249216,408,1198.06952206103,1198.06952206103,353.0914226987,353.0914226987
