location,population,country,d0,c0,d1,c1,d2,c2,d3,c3,d4,c4,d5,c5,days_since_1Jan2020
Luxembourg,625976.0,Luxembourg,0,100,79,6433.15,158,12399.84,238,37876.85,317,80239.5,397,103432.08,77.0
Madagascar,27691019.0,Madagascar,0,100,74,64.53,148,553.21,223,625.11,297,688.49,372,1163.01,102.0
Malawi,19129955.0,Malawi,0,100,65,195.4,131,302.3,196,316.31,262,1477.79,328,1774.23,146.0
Malaysia,32365998.0,Malaysia,0,100,81,238.89,162,284.84,243,1216.0,324,5997.47,405,11587.9,69.0
Maldives,540542.0,Maldives,0,100,72,4504.74,144,17099.5,216,23779.84,288,30611.87,360,48743.67,114.0
Mali,20250834.0,Mali,0,100,74,100.69,148,141.72,222,205.87,296,400.53,371,645.41,103.0
Malta,441539.0,Malta,0,100,78,1431.36,156,3965.67,234,17316.7,312,39826.61,391,67867.16,83.0
Mauritania,4649660.0,Mauritania,0,100,66,1315.36,133,1610.44,200,2012.84,267,3635.1,334,3898.99,140.0
Mexico,127792286.0,Mexico,0,100,79,860.98,158,4383.39,237,7657.2,316,14285.05,396,18041.79,78.0
Moldova,4033963.0,Moldova,0,100,78,2485.15,156,8671.87,234,21328.41,312,39380.63,391,60956.68,83.0
Monaco,39244.0,Monaco,0,100,60,3822.24,120,6829.07,180,18219.35,240,45535.62,301,61130.36,173.0
Mongolia,3278292.0,Mongolia,0,100,67,87.55,134,95.48,202,256.84,269,663.15,337,6980.46,137.0
Montenegro,628062.0,Montenegro,0,100,76,519.06,153,7698.28,229,43271.21,306,98173.43,383,152136.25,91.0
Morocco,36910558.0,Morocco,0,100,78,224.92,156,1477.3,235,7499.78,313,12733.21,392,13703.69,82.0
Mozambique,31255435.0,Mozambique,0,100,68,45.91,136,236.73,205,507.62,273,1436.93,342,2214.11,132.0
Namibia,2540916.0,Namibia,0,100,59,2303.89,118,4882.49,178,7365.06,237,14341.28,297,18361.49,177.0
Nepal,29136808.0,Nepal,0,100,69,589.53,138,2286.87,207,8012.27,276,9332.7,346,9770.22,128.0
Netherlands,17747554.0,Netherlands,0,100,81,2579.51,163,3632.5,244,22375.59,326,54664.21,408,80486.58,66.0
Nicaragua,6624554.0,Nicaragua,0,100,66,519.13,133,780.43,200,881.27,267,958.1,334,1023.16,140.0
Nigeria,206139587.0,Nigeria,0,100,77,78.03,154,261.3,231,316.04,308,636.67,385,796.71,89.0
North Macedonia,2083380.0,North Macedonia,0,100,78,1512.93,156,6623.37,235,21040.33,313,44251.65,392,70603.54,82.0
Norway,5421242.0,Norway,0,100,81,1546.32,163,1845.52,244,4284.81,326,11361.6,408,19831.25,66.0
Oman,5106622.0,Oman,0,100,77,3907.48,155,16646.03,232,23389.63,310,26187.17,388,35254.42,86.0
Pakistan,207831794.0,Pakistan,0,100,79,387.15,159,1403.0,239,1667.1,319,2603.22,399,3663.72,75.0
